"bloco","bairro","região","data","data relativa","concentração","desfile","final","local da concentracao","percurso","público estimado","ano do primeiro desfile"
"Baile do Guri","Taquara","Barra/JPA","28/02/17","Terça-feira de Carnaval","2017-02-28T15:00:00-03:00","2017-02-28T15:00:00-03:00","2017-02-28T21:00:00-03:00","Praça da Merck","Parado","200","2017"
"Bambas do Catete","Catete","Zona Sul","28/02/17","Terça-feira de Carnaval","2017-02-28T15:00:00-03:00","2017-02-28T19:00:00-03:00","2017-02-28T21:00:00-03:00","Praça do Poeta","Rua do Catete, Rua Pedro Américo, Rua Bento Lisboa, Rua Dois de Dezembro e Rua do Catete até a Silveira Martins","1000","2002"
"Banda da Amizade","Lapa","Centro","28/02/17","Terça-feira de Carnaval","2017-02-28T15:00:00-03:00","2017-02-28T18:00:00-03:00","2017-02-28T23:00:00-03:00","Rua Tadeu Kosciusco","Rua Tadeu Kosciusco - Parado","1000","1988"
"Banda do Largo da 2a Feira","Tijuca","Tijuca e Adj","28/02/17","Terça-feira de Carnaval","2017-02-28T15:00:00-03:00","2017-02-28T17:30:00-03:00","2017-02-28T21:00:00-03:00","Rua Conde de Bonfim, 25","Rua Conde de Bonfim, Rua Haddock Lobo, Rua Campos Salles, Rua Doutor Satamini, Rua São Francisco Xavier e Rua Conde de Bonfim até o no 25","3000","1990"
"Banda do Limãozinho","Brás de Pina","Zona Norte 1","28/02/17","Terça-feira de Carnaval","2017-02-28T15:00:00-03:00","2017-02-28T15:00:00-03:00","2017-02-28T19:00:00-03:00","Conjunto Guaporé","Parado","200","2017"
"Banda do Peru Pelado","Copacabana","Zona Sul","28/02/17","Terça-feira de Carnaval","2017-02-28T15:00:00-03:00","2017-02-28T17:00:00-03:00","2017-02-28T21:00:00-03:00","Avenida Atlântica, esquina com República do Peru","Rua República do Peru, Rua Barata Ribeiro, Rua Siqueira Campos e Avenida Atlântica até a esquina com República do Peru","3000","2006"
"Bonecas Deslumbradas de Olaria","Olaria","Zona Norte 3","28/02/17","Terça-feira de Carnaval","2017-02-28T15:00:00-03:00","2017-02-28T17:00:00-03:00","2017-02-28T21:00:00-03:00","Rua Conselheiro Paulino, no 567","Rua Conselheiro Paulino, Rua João Rêgo, Rua Teotônio de Brito, Rua Delfim Carlos, Praca Belmonte, Rua João Rêgo e Rua Conselheiro Paulino","5000","1977"
"Dragões da Riachuelo","Bairro de Fátima","Centro","28/02/17","Terça-feira de Carnaval","2017-02-28T15:00:00-03:00","2017-02-28T16:00:00-03:00","2017-02-28T19:00:00-03:00","Rua do Senado","Rua do Senado,  Rua Ubaldino do Amaral, Rua Washington Luiz e Rua Conselheiro Josino, onde encerra","500","2011"
"Furukuteu","Riachuelo","Zona Norte 2","28/02/17","Terça-feira de Carnaval","2017-02-28T15:00:00-03:00","2017-02-28T17:00:00-03:00","2017-02-28T21:00:00-03:00","Rua Francisco Bernardino","Rua Francisco Bernardino, Rua Magalhães Castro, Rua Flack, Rua Magalhães Castro e Rua Francisco Bernardino","200","2008"
"Gambá Cheiroso","Jacarepaguá","Barra/JPA","28/02/17","Terça-feira de Carnaval","2017-02-28T15:00:00-03:00","2017-02-28T15:00:00-03:00","2017-02-28T20:00:00-03:00","Rua Bruno Giorgi s/n - Anfiteatro","Parado","500","2017"
"Largo do Machado, Mas Não Largo do Copo","Catete","Zona Sul","28/02/17","Terça-feira de Carnaval","2017-02-28T15:00:00-03:00","2017-02-28T17:00:00-03:00","2017-02-28T21:00:00-03:00","Largo do Machado","Largo do Machado, Rua do Catete, Arthur Bernardes, Bento Lisboa, Ministro Tavares de Lira, Conde de Baependi, Rua do Catete e Largo do Machado","4000","2007"
"Meu Bem, Volto Já.","Leme","Zona Sul","28/02/17","Terça-feira de Carnaval","2017-02-28T15:00:00-03:00","2017-02-28T17:00:00-03:00","2017-02-28T20:00:00-03:00","Avenida Princesa Isabel, altura da Barata Ribeiro","Avenida Princesa Isabel, Avenida Atlântica, seguindo até a Praça Almirante Julio de Noronha","4000","1995"
"Os Imóveis","Copacabana","Zona Sul","28/02/17","Terça-feira de Carnaval","2017-02-28T15:00:00-03:00","2017-02-28T15:00:00-03:00","2017-02-28T20:00:00-03:00","Rua Souza Lima, em frente ao no 121","Rua Souza Lima, em frente ao no 121 - Parado","200","2006"
"Perereca Vadia","Campo Grande","Zona Oeste","28/02/17","Terça-feira de Carnaval","2017-02-28T15:00:00-03:00","2017-02-28T17:00:00-03:00","2017-02-28T20:00:00-03:00","Av. Bacaxá Lote 16 quadra 89","Segue da concentração até o Lote 24 e quadra 72.","1000","2011"
"Perereka sem Dono","Botafogo","Zona Sul","28/02/17","Terça-feira de Carnaval","2017-02-28T15:00:00-03:00","2017-02-28T18:00:00-03:00","2017-02-28T21:00:00-03:00","Rua Henrique de Novaes, esquina com Rua Real Gandreza","Parado","1000","2010"
"Acadêmicos do Engenho de Dentro","Engenho de Dentro","Zona Norte 2","28/02/17","Terça-feira de Carnaval","2017-02-28T16:00:00-03:00","2017-02-28T19:00:00-03:00","2017-02-28T21:00:00-03:00","Rua Venâncio Ribeiro, 452","Rua Venâncio Ribeiro, Rua Maria Paula, Rua Catulo Cearense e Rua Adolfo Bergamini","1000","2010"
"ASPA - Amigos da Sueca da Pedro Américo","Catete","Zona Sul","28/02/17","Terça-feira de Carnaval","2017-02-28T16:00:00-03:00","2017-02-28T18:00:00-03:00","2017-02-28T21:00:00-03:00","Rua Pedro Américo, no 363","Rua Pedro Américo, Rua Bento Lisboa, Rua Dois de Dezembro, Rua do Catete e Rua Pedro Américo","3000","2010"
"Banda da Glória","Glória","Zona Sul","28/02/17","Terça-feira de Carnaval","2017-02-28T16:00:00-03:00","2017-02-28T17:00:00-03:00","2017-02-28T22:00:00-03:00","Rua da Glória, esquina com Rua Candido Mendes","Rua da Glória, Rua do Catete, seguindo até a Rua Pedro Américo, e retornando pela Rua do Catete e Rua da Glória até ao local de concentração","1000","1974"
"Banda da Inválidos","Lapa","Centro","28/02/17","Terça-feira de Carnaval","2017-02-28T16:00:00-03:00","2017-02-28T18:00:00-03:00","2017-02-28T22:00:00-03:00","Rua dos Inválidos, entre Av. Mem de Sá e Henrique Valadares","Rua dos Inválidos, Rua do Senado, Rua Ubaldino do Amaral, Rua do Rezende, Rua dos Inválidos","1000","1976"
"Banda da Saens Pena","Tijuca","Tijuca e Adj","28/02/17","Terça-feira de Carnaval","2017-02-28T16:00:00-03:00","2017-02-28T19:00:00-03:00","2017-02-28T22:00:00-03:00","Rua Desembargador Izidro, no 4","Rua Desembargador Izidro, Rua Abelardo Barbosa, Rua Conde de Bonfim, Rua Pareto, Rua Almirante Cochrane, Rua Santo Afonso e Rua General Roca","2000","2005"
"Banda das Quengas","Lapa","Centro","28/02/17","Terça-feira de Carnaval","2017-02-28T16:00:00-03:00","2017-02-28T18:00:00-03:00","2017-02-28T22:00:00-03:00","Av. Mem de Sá, entre a Praça da Cruz Vermelha e a Rua Carlos de Carvalho","Av. Mem de Sá, Rua Tenente Possolo, Rua Henrique Valadares,  Praça da Cruz Vermelha e Av. Mém de Sá, até a Carlos de Carvalho","15000","1990"
"Banda de Ipanema","Ipanema","Zona Sul","28/02/17","Terça-feira de Carnaval","2017-02-28T16:00:00-03:00","2017-02-28T17:30:00-03:00","2017-02-28T22:00:00-03:00","Rua Jangadeiros, esquina com Gomes Carneiro","Rua Gomes Carneiro, Avenida Vieira Souto, Rua Joana Angélica e Rua Visconde de Pirajá, até a Praça General Osório","90000","1965"
"Banda Haddock","Tijuca","Tijuca e Adj","28/02/17","Terça-feira de Carnaval","2017-02-28T16:00:00-03:00","2017-02-28T18:00:00-03:00","2017-02-28T22:00:00-03:00","Rua Afonso Pena, no 10","Rua Afonso Pena, em frente ao no 10 - Parado","1000","1984"
"Bicho Solto com Desculpa pra Beber","Botafogo","Zona Sul","28/02/17","Terça-feira de Carnaval","2017-02-28T16:00:00-03:00","2017-02-28T18:00:00-03:00","2017-02-28T20:00:00-03:00","Estacionamento da Cobal do Humaitá","Voluntários da Pátria, Rua Conde de Irajá, Largo dos Leões e Rua Marques","1500","2003"
"Boi de Anchieta","Anchieta","Zona Norte 1","28/02/17","Terça-feira de Carnaval","2017-02-28T16:00:00-03:00","2017-02-28T18:00:00-03:00","2017-02-28T22:00:00-03:00","Praça Nazaré","Praça Nazaré, Rua Motorista Luís de Abreu, Avenida Nazaré, Rua Motorista Luís de Abreu e Praça nazaré","1000","1990"
"Cabeça de Chave","Copacabana","Zona Sul","28/02/17","Terça-feira de Carnaval","2017-02-28T16:00:00-03:00","2017-02-28T16:00:00-03:00","2017-02-28T22:00:00-03:00","Rua Duvivier, no 40","Parado","2000","1964"
"Cata Latas do Grajaú","Grajaú","Tijuca e Adj","28/02/17","Terça-feira de Carnaval","2017-02-28T16:00:00-03:00","2017-02-28T20:00:00-03:00","2017-02-28T22:00:00-03:00","Praça Nobel","Rua Saviana, Rua Rosa e Silva, Rua Campinas, Rua Uberaba, Rua Botucatu, Rua Barão de Mesquita e Largo do Verdun","2000","2011"
"Do Vinil ao K7","Madureira","Zona Norte 1","28/02/17","Terça-feira de Carnaval","2017-02-28T16:00:00-03:00","2017-02-28T16:00:00-03:00","2017-02-28T22:00:00-03:00","Quiosque Bella Carioca (Parque de Madureira)","PARADO","800","2010"
"Enxota que Eu Vou","Centro","Centro","28/02/17","Terça-feira de Carnaval","2017-02-28T16:00:00-03:00","2017-02-28T18:00:00-03:00","2017-02-28T22:00:00-03:00","Praça Tiradentes","Praça Tiradentes - Parado","1500","2010"
"Os Mariocas","Lapa","Centro","28/02/17","Terça-feira de Carnaval","2017-02-28T16:00:00-03:00","2017-02-28T17:00:00-03:00","2017-02-28T21:00:00-03:00","Arcos da Lapa","Parado","200","2017(2010)"
"Só Falta Você","Rocinha","Zona Sul","28/02/17","Terça-feira de Carnaval","2017-02-28T16:00:00-03:00","2017-02-28T18:00:00-03:00","2017-02-28T22:00:00-03:00","Rua Nova (antiga Rua 4), esquina com Estrada da Gávea","Rua Nova, da Estrada da Gávea até o Largo do Boiadeiro, retornando ao local de concentração","1000","2007"
"Banana Com Queijo","Realengo","Zona Oeste","28/02/17","Terça-feira de Carnaval","2017-02-28T17:00:00-03:00","2017-02-28T21:00:00-03:00","2017-02-28T22:00:00-03:00","Rua Açú 719","Rua Açú, Rua ibitú, Rua Gomes Souza, Rua João Zuso, Rua Ocabí, Rua Silva Neto, Rua Iguarim até origem.","500","2017 (2013)"
"Banda da Flack","Riachuelo","Zona Norte 2","28/02/17","Terça-feira de Carnaval","2017-02-28T17:00:00-03:00","2017-02-28T19:00:00-03:00","2017-02-28T23:00:00-03:00","Rua Flack","Rua Flack, Rua Lino Teixeira, Rua Ana Neri, Rua Magalhães de Castro e Rua Flack","300","2008"
"Bangay Folia","Bangu","Zona Oeste","28/02/17","Terça-feira de Carnaval","2017-02-28T17:00:00-03:00","2017-02-28T21:00:00-03:00","2017-02-28T22:00:00-03:00","Rua Barão de Capanema","Rua Barão de Capanema, Rua Banguense, Rua Silva Cardoso, Rua Santa Cecilia, Rua Fonseca","800","2017"
"Banguçando o Coreto","Bangu","Zona Oeste","28/02/17","Terça-feira de Carnaval","2017-02-28T17:00:00-03:00","2017-02-28T19:00:00-03:00","2017-02-28T21:00:00-03:00","Rua Abaeté, esquina com Rua Francisco Real","Rua Abaeté, Rua Santa Cecília, seguindo até a Praça da Fé","2000","2010"
"Block`n Roll","Ribeira","Zona Norte 3","28/02/17","Terça-feira de Carnaval","2017-02-28T17:00:00-03:00","2017-02-28T18:00:00-03:00","2017-02-28T22:00:00-03:00","Praça Iaiá Garcia","Praça Iaiá Garcia - Parado","3000","2010"
"Bloco da Coroinha","Pedra de Guaratiba","Zona Oeste","28/02/17","Terça-feira de Carnaval","2017-02-28T17:00:00-03:00","2017-02-28T19:00:00-03:00","2017-02-28T21:00:00-03:00","Rua Barros de Alarcão - Praça São Pedro","Rua Barros de Alarcão, da Praça São Pedro até a Rua Saião Lobato","1000","2012"
"Bloco do UHH!","Copacabana","Zona Sul","28/02/17","Terça-feira de Carnaval","2017-02-28T17:00:00-03:00","2017-02-28T17:00:00-03:00","2017-02-28T22:00:00-03:00","Praça Serzedelo Correa","Praca Serzedelo Correa - Parado","300","2003"
"Chifrorosso","Rocinha","Zona Sul","28/02/17","Terça-feira de Carnaval","2017-02-28T17:00:00-03:00","2017-02-28T18:00:00-03:00","2017-02-28T22:00:00-03:00","Rua 2","Rua 2 até a Estrada da Gavea 436 e retornando até origem","1500","2017"
"Coração das Crianças","Rocinha","Zona Sul","28/02/17","Terça-feira de Carnaval","2017-02-28T17:00:00-03:00","2017-02-28T18:00:00-03:00","2017-02-28T20:00:00-03:00","Rua Nova (antiga Rua 4), esquina com Estrada da Gávea","Rua Nova, da Estrada da Gávea até o Largo do Boiadeiro, retornando ao local de concentração","1000","1978"
"Passa Régua de Bangu","Bangu","Zona Oeste","28/02/17","Terça-feira de Carnaval","2017-02-28T17:00:00-03:00","2017-02-28T19:00:00-03:00","2017-02-28T23:00:00-03:00","Rua Boiobi 1993","Rua Boiobi, Rio da Prata, Rua Silva Cardoso, Rua Santa Cecilia, Rua Fonseca","2000","2017 (1975)"
"Sorriso de Criança","Brás de Pina","Zona Norte 1","28/02/17","Terça-feira de Carnaval","2017-02-28T17:00:00-03:00","2017-02-28T19:00:00-03:00","2017-02-28T21:00:00-03:00","Rua Pequiri, 277","Rua Pequiri, Rua Carbonita, Rua Guaporé, seguindo até a Castro Menezes, voltando pela Rua Guaporé, Rua Carbonita e Rua Pequiri (Praça 12)","1200","2007"
"Último Gole","Lagoa","Zona Sul","28/02/17","Terça-feira de Carnaval","2017-02-28T17:00:00-03:00","2017-02-28T17:00:00-03:00","2017-02-28T22:00:00-03:00","Parque dos Patins","Parque dos Patins - Parado","10000","2000"
"Fecha Bar","Paquetá","Centro","28/02/17","Terça-feira de Carnaval","2017-02-28T18:00:00-03:00","2017-02-28T19:00:00-03:00","2017-02-28T21:00:00-03:00","Praia José Bonifácio","Praia José Bonifácio, Rua Furquim Werneck, Rua Pinheiro Freire, Rua Doutor Lacerda e Praia José Bonifácio","500","1984"
"Raízes da Vila da Penha","Vila da Penha","Zona Norte 1","28/02/17","Terça-feira de Carnaval","2017-02-28T18:00:00-03:00","2017-02-28T19:00:00-03:00","2017-02-28T23:00:00-03:00","Rua São João Gualberto","Rua São João Gualberto, Rua General Silveira Sobrinho, Av. Brás de Pina, Rua Oliveira Belo, Rua da Coragem, Rua Alice Tibiriça e Rua São João Gualberto","1500","1996"
"Bloco do Boi ""Só Falta Você!""","Pedra de Guaratiba","Zona Oeste","28/02/17","Terça-feira de Carnaval","2017-02-28T19:00:00-03:00","2017-02-28T21:00:00-03:00","2017-02-28T23:00:00-03:00","Rua Barros de Alarcão - Praça São Pedro","Rua Barros de Alarcão, da Praça São Pedro até a Rua Saião Lobato","1000","2008"
"Bloco do Ooooooi","Cachambi","Zona Norte 2","28/02/17","Terça-feira de Carnaval","2017-02-28T19:00:00-03:00","2017-02-28T22:00:00-03:00","2017-02-28T23:00:00-03:00","Praça Avaí","Contorna a Praça Avaí","1000","2004"
"Boêmios de Sepetiba","Sepetiba","Zona Oeste","28/02/17","Terça-feira de Carnaval","2017-02-28T19:00:00-03:00","2017-02-28T20:00:00-03:00","2017-02-28T23:00:00-03:00","Praia de Sepetiba (Bar do Zezinho)","Praia de Sepetiba, Estrada São Tarcísio, Rua Paranabi, Rua Aristides Gouveia e Rua José Higaskino","500","2008"
"Bloco do Limão","Jardim América","Zona Norte 2","28/02/17","Terça-feira de Carnaval","2017-02-28T20:00:00-03:00","2017-02-28T20:00:00-03:00","2017-03-01T02:00:00-03:00","Praça Andrade Neves","Praça Andrade Neves, Rua Monsenhor Castelo Branco, Rua Ministro Artur Costa, Rua George Bizet, Rua Franz Liszt, Rua Debussy, Rua Ministro Artur Costa, Rua Viana de Castro e Praça Andrade Neves","3000","2010"
"Confetes e Serpentinas","Pedra de Guaratiba","Zona Oeste","28/02/17","Terça-feira de Carnaval","2017-02-28T20:00:00-03:00","2017-02-28T20:00:00-03:00","2017-02-28T23:00:00-03:00","Praça Dr. Raul Capello Barrozo","Parado","800","2017"
"Viemos do Egyto","Centro","Centro","01/03/17","Quarta - Feira de Cinzas","2017-03-01T00:00:00-03:00","2017-03-01T01:00:00-03:00","2017-03-01T07:00:00-03:00","Praça dos Expedicionários","Praça dos Expedicionários até Praça Marechal Âncora","12000","2017 (2011)"
"Ainda Aguento","Ilha do Governador","Zona Norte 3","01/03/17","Quarta-feira de Cinzas","2017-03-01T10:00:00-03:00","2017-03-01T12:00:00-03:00","2017-03-01T15:00:00-03:00","Praia da Engenhoca","Rua Praia da Engenhoca, Rua Novo Airão, Rua Fernandes da Fonseca, Pça Iaiá Garcia e retorna para origem pelo trajeto inverso.","1000","2017 (2010)"
"Banda do Village","Portuguesa","Zona Norte 3","01/03/17","Quarta-feira de Cinzas","2017-03-01T14:00:00-03:00","2017-03-01T14:00:00-03:00","2017-03-01T20:00:00-03:00","Rua Luiz Sá, altura do número 205","Parado","2000","2007"
"Bloco da Apuração dos Embaixadores da Folia","Lapa","Centro","01/03/17","Quarta-feira de Cinzas","2017-03-01T14:00:00-03:00","2017-03-01T17:00:00-03:00","2017-03-01T19:00:00-03:00","Av. Gomes Freire, em frente ao no 533","Av. Gomes Freire, em frente ao no 533","900","2001"
"Chave de Ouro","Engenho de Dentro","Zona Norte 2","01/03/17","Quarta-feira de Cinzas","2017-03-01T14:00:00-03:00","2017-03-01T16:00:00-03:00","2017-03-01T18:00:00-03:00","Rua Adolfo Bergamini (Chave de Ouro)","Rua Adolfo Bergamini, Rua Dr. Niemeyer, Rua Dr. Bulhões, Rua Borja Reis e Rua Adolfo Bergamini, voltando ao Chave de Ouro","1500","1964"
"Planta na Mente","Lapa","Centro","01/03/17","Quarta-feira de Cinzas","2017-03-01T14:00:00-03:00","2017-03-01T16:20:00-03:00","2017-03-01T21:00:00-03:00","Praça Cardeal Câmara (Arcos da Lapa)","Rua dos Arcos, Rua do Lavradio, Rua do Senado, Rua Pedro I, Rua Visconde do Rio Branco e Praça Tiradentes","5000","2011"
"Batuque das Meninas","Catete","Zona Sul","01/03/17","Quarta-feira de Cinzas","2017-03-01T16:00:00-03:00","2017-03-01T17:00:00-03:00","2017-03-01T22:00:00-03:00","Largo do Machado","Largo do Machado - Parado","1000","2010"
"Guri da Merck","Taquara","Barra/JPA","01/03/17","Quarta-feira de Cinzas","2017-03-01T16:00:00-03:00","2017-03-01T19:00:00-03:00","2017-03-01T22:00:00-03:00","Praça Albert Sabin (Praça da Merck)","Praça da Merck, Rua José Perigaut, Rua frei Luiz Alevato, Rua Aristóteles de Souza Dantas, Rua Carlos Palut, Rua José Perigaut e Praça da Merck","1000","2013"
"Os Filhos da P!","Gávea","Zona Sul","01/03/17","Quarta-feira de Cinzas","2017-03-01T16:00:00-03:00","2017-03-01T16:00:00-03:00","2017-03-01T22:00:00-03:00","Av. Padre Leonel França s/n (Em frente a PUC)","PARADO","2000","2016"
"Bangay Folia","Bangu","Zona Oeste","01/03/17","Quarta-feira de Cinzas","2017-03-01T17:00:00-03:00","2017-03-01T21:00:00-03:00","2017-03-01T22:00:00-03:00","Rua Barão de Capanema","Rua Barão de Capanema, Rua Banguense, Rua Silva Cardoso, Rua Santa Cecilia, Rua Fonseca","800","2017"
"Voltar Pra Quê?","Centro","Centro","02/03/17","Quinta-feira após o Carnaval","2017-03-02T18:00:00-03:00","2017-03-02T21:00:00-03:00","2017-03-03T00:00:00-03:00","Rua Alvaro Alvim","Rua Alvaro Alvim, Rua Alcindo Guanabara, Rua Senador Dantas, Praça Mahatma Gandhi e Praça Floriano","2500","2002"
"Alegria do Méier","Méier","Zona Norte 2","03/03/17","Sexta-feira após o Carnaval","2017-03-03T18:00:00-03:00","2017-03-03T19:00:00-03:00","2017-03-03T22:00:00-03:00","Rua Galdino Pimentel, esquina com Dias da Cruz","Parado","1000","2012"
"Kizomba","Vila Isabel","Tijuca e Adj","03/03/17","Sexta-feira após o Carnaval","2017-03-03T18:00:00-03:00","2017-03-03T18:00:00-03:00","2017-03-04T00:00:00-03:00","Praça Barão de Drummond","Praça Barão de Drummond - Parado","1000","1984"
"Só Tamborins","Lapa","Centro","03/03/17","Sexta-feira após o Carnaval","2017-03-03T19:00:00-03:00","2017-03-03T20:00:00-03:00","2017-03-03T22:00:00-03:00","Travessa do Mosqueira, esquina com Rua Visconde de Maranguape","Rua Visconde de Maranguape, Rua da Lapa, Rua da Glória, seguindo até o Largo da Glória","2500","2007"
"Bloco das Poderosas","Centro","Centro","04/03/17","Sábado após o Carnaval","2017-03-04T07:00:00-03:00","2017-03-04T09:00:00-03:00","2017-03-04T13:00:00-03:00","Rua Primeiro de Março, entre Rua Buenos Aires e Rua do Rosário","Rua Primeiro de Março, seguindo pela Av. Presidente Antonio Carlos até a Rua Araújo Porto Alegre, onde encerra","200000","2016"
"Quizomba","Lapa","Centro","04/03/17","Sábado após o Carnaval","2017-03-04T08:00:00-03:00","2017-03-04T10:00:00-03:00","2017-03-04T13:00:00-03:00","Rua dos Arcos, sem no - em frente ao Circo Voador, no 07","Montará Palco na Praça Cardeal Câmara Em frente ao Circo Voador - PARADO.","10000","2002"
"Se Essa Rua Fosse Minha","Flamengo","Zona Sul","04/03/17","Sábado após o Carnaval","2017-03-04T12:00:00-03:00","2017-03-04T13:00:00-03:00","2017-03-04T15:00:00-03:00","Praça Sandro Moreira","PARADO","1000","2017"
"Aí Sim","Tijuca","Tijuca e Adj","04/03/17","Sábado após o Carnaval","2017-03-04T14:00:00-03:00","2017-03-04T14:00:00-03:00","2017-03-04T18:00:00-03:00","Praça Xavier de Brito","Parado","500","2017"
"Eu Sou Normal, mas o Côco é Loko","Barra da Tijuca","Barra/JPA","04/03/17","Sábado após o Carnaval","2017-03-04T14:00:00-03:00","2017-03-04T14:00:00-03:00","2017-03-04T20:00:00-03:00","Av. Lúcio Costa, em frente ao no 2.940 - Quiosque Côco Loko","Av. Lúcio Costa, em frente ao no 2.940 - Quiosque Côco Loko - Parado","500","2016"
"Sem Saída","Botafogo","Zona Sul","04/03/17","Sábado após o Carnaval","2017-03-04T14:00:00-03:00","2017-03-04T17:00:00-03:00","2017-03-04T20:00:00-03:00","Rua General Severiano, em frente ao no 76","Rua General Severiano, Rua Venceslau Brás, Av. Pasteur e Rua Bartolomeu Portela","1500","2009"
"Sepulta Carnaval","Engenho de Dentro","Zona Norte 2","04/03/17","Sábado após o Carnaval","2017-03-04T14:00:00-03:00","2017-03-04T17:00:00-03:00","2017-03-04T20:00:00-03:00","Rua Ana Leonídia, esquina com Dr. Bulhões","Rua Ana Leonídia, Rua Dr. Bulhões, Rua Borja Reis, Rua Adolfo Bergamini, Rua Pernambuco, Rua Dr. Bulhões e Rua Ana Leonídia","1000","2003"
"Vaca Atolada dos Embaixadores da Folia","Lapa","Centro","04/03/17","Sábado após o Carnaval","2017-03-04T14:00:00-03:00","2017-03-04T17:00:00-03:00","2017-03-04T19:00:00-03:00","Av. Gomes Freire, em frente ao no 533","Av. Gomes Freire, av. Mem de Sá, Rua Ubaldino do Amaral, Rua da Relação, Av. Gomes Freire.","900","2001"
"Ciganas Feiticeiras de Olaria","Olaria","Zona Norte 3","04/03/17","Sábado após o Carnaval","2017-03-04T15:00:00-03:00","2017-03-04T17:00:00-03:00","2017-03-04T21:00:00-03:00","Rua Paranhos, esquina com João Rego","Rua João Rego, Rua Tetônio de Brito, Rua Comandante Abreu, Praça Belmonte, Rua Delfim Carlos e Rua João do Rego","1200","1995"
"É Pequeno mas não amolece","Recreio","Barra/JPA","04/03/17","Sábado após o Carnaval","2017-03-04T15:00:00-03:00","2017-03-04T17:00:00-03:00","2017-03-04T21:00:00-03:00","Praça Professor Henrique Niremberg","Praça Professor Henrique Niremberg, Rua Professora Isolina Sartore, Rua Joaquim da Silveira, José Afonso Neto e Praça Professor Henrique Niremberg","500","2009"
"Furukuteu","Riachuelo","Zona Norte 2","04/03/17","Sábado após o Carnaval","2017-03-04T15:00:00-03:00","2017-03-04T17:00:00-03:00","2017-03-04T21:00:00-03:00","Rua Francisco Bernardino","Rua Francisco Bernardino, Rua Magalhães Castro, Rua Flack, Rua Magalhães Castro e Rua Francisco Bernardino","200","2008"
"Vem Comigo Cachaçada","Ribeira","Zona Norte 3","04/03/17","Sábado após o Carnaval","2017-03-04T15:00:00-03:00","2017-03-04T18:00:00-03:00","2017-03-04T21:00:00-03:00","Rua Paramopama, em frente ao restaurante Bom Demais","Rua Paramopama, do Restaurante Bom Demais até a Praça da Ribeira, contornando a Praça e voltando ao local de concentração","1500","2007"
"Banda Devassa","Penha","Zona Norte 1","04/03/17","Sábado após o Carnaval","2017-03-04T16:00:00-03:00","2017-03-04T20:00:00-03:00","2017-03-04T22:00:00-03:00","Rua Patagônia","Rua Patagônia, Rua Quito, Rua Montevidéu, Rua Nicarágua e Rua Patagônia","4000","2010"
"Fuzuê... Só Alegria Pra Você!","Del Castilho","Zona Norte 2","04/03/17","Sábado após o Carnaval","2017-03-04T16:00:00-03:00","2017-03-04T18:00:00-03:00","2017-03-04T22:00:00-03:00","Rua Chapadinha, no 02","Rua Chapadinha, Rua Lagoa Verde, Rua Lagoa Clara, Rua Lagoa Redonda, Rua Chapadinha e Rua Palmeira do Norte","1500","2004"
"Mistura de Santa","Santa Teresa","Centro","04/03/17","Sábado após o Carnaval","2017-03-04T16:00:00-03:00","2017-03-04T18:00:00-03:00","2017-03-04T21:00:00-03:00","Mirante do Rato Molhado","Segue pela Rua Aprazível até dispersar na lateral do Castelo São Valentimna parte alta da Rua Almirante Alexandrino.","1000","2014"
"Mulheres de Chico","Leme","Zona Sul","04/03/17","Sábado após o Carnaval","2017-03-04T16:00:00-03:00","2017-03-04T18:00:00-03:00","2017-03-04T21:00:00-03:00","Praia do Leme, próximo ao Costão","Praia do Leme, próximo ao Costão - Parado em palco montado na areia da praia","50000","2006"
"OBA - Organização Bons Amigos","Saúde","Centro","04/03/17","Sábado após o Carnaval","2017-03-04T16:00:00-03:00","2017-03-04T16:00:00-03:00","2017-03-04T22:00:00-03:00","Largo São Francisco da Prainha","Largo de São Francisco da Prainha - Parado","500","2008"
"Pela Saco","Botafogo","Zona Sul","04/03/17","Sábado após o Carnaval","2017-03-04T16:00:00-03:00","2017-03-04T17:00:00-03:00","2017-03-04T20:00:00-03:00","Praça Corumbá","Praça Corumbá, Rua São Clemente, Rua Real Grandeza, Rua Voluntários da Pátria, Rua da Matriz e Praça Corumbá","4000","2001"
"Sufridos de Copacabana","Copacabana","Zona Sul","04/03/17","Sábado após o Carnaval","2017-03-04T16:00:00-03:00","2017-03-04T16:00:00-03:00","2017-03-04T22:00:00-03:00","Praça Manuel Campos da Paz","Praça Manuel Campos da Paz - Parado","400","2009"
"Bafafá","Ipanema","Zona Sul","04/03/17","Sábado após o Carnaval","2017-03-04T17:00:00-03:00","2017-03-04T17:00:00-03:00","2017-03-04T21:00:00-03:00","Praia de Ipanema, Posto 9","Praia de Ipanema, Posto 9 - Parado","20000","2003"
"Berço do Samba","Lapa","Centro","04/03/17","Sábado após o Carnaval","2017-03-04T17:00:00-03:00","2017-03-04T18:00:00-03:00","2017-03-04T23:00:00-03:00","Praça Cardeal Câmara (Arcos da Lapa)","Parado","5000","2005"
"Bloco da Ressaca","Pedra de Guaratiba","Zona Oeste","04/03/17","Sábado após o Carnaval","2017-03-04T18:00:00-03:00","2017-03-04T18:00:00-03:00","2017-03-04T23:00:00-03:00","Rua Barros de Alarcão - Praça São Pedro","Rua Barros de Alarcão, da Praça São Pedro até a Rua Saião Lobato","1000","2009"
